id,name,description,summonerLevel,cooldown,gameModes,iconPath
1,Cleanse,Removes all disables (excluding suppression and airborne) and summoner spell debuffs affecting your champion and lowers the duration of incoming disables by 65% for 3 seconds.,9,210,"['URF', 'NEXUSBLITZ', 'ARSR', 'ONEFORALL', 'ARAM', 'CLASSIC', 'PRACTICETOOL', 'DOOMBOTSTEEMO', 'TUTORIAL', 'ULTBOOK', 'FIRSTBLOOD', 'PROJECT']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_boost.png
3,Exhaust,"Exhausts target enemy champion, reducing their Move Speed by 30%, and their damage dealt by 40% for 3 seconds.",4,210,"['NEXUSBLITZ', 'URF', 'PRACTICETOOL', 'TUTORIAL', 'CLASSIC', 'ARAM', 'DOOMBOTSTEEMO', 'ULTBOOK', 'ONEFORALL', 'ARSR']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_exhaust.png
4,Flash,Teleports your champion a short distance toward your cursor's location.,7,300,"['NEXUSBLITZ', 'URF', 'PRACTICETOOL', 'SNOWURF', 'TUTORIAL', 'CLASSIC', 'ARAM', 'DOOMBOTSTEEMO', 'ULTBOOK', 'ONEFORALL', 'ARSR', 'ASSASSINATE', 'FIRSTBLOOD', 'PROJECT', 'STARGUARDIAN']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_flash.png
5,,,4,180,[],/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_Backtrack.png
6,Ghost,"For 10 seconds, your champion can move through units and gains 24 - 48% Move Speed (depending on champion level). Ghost extends its duration on takedown.",1,210,"['NEXUSBLITZ', 'TUTORIAL_MODULE_2', 'URF', 'PRACTICETOOL', 'TUTORIAL', 'CLASSIC', 'ARAM', 'DOOMBOTSTEEMO', 'ULTBOOK', 'TUTORIAL_MODULE_1', 'ONEFORALL', 'ARSR', 'ASSASSINATE', 'FIRSTBLOOD', 'PROJECT', 'STARGUARDIAN']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_haste.png
7,Heal,Restores 90-345 Health (depending on champion level) and grants 30% Move Speed for 1 second to you and target allied champion. This healing is halved for units recently affected by Summoner Heal.,1,240,"['NEXUSBLITZ', 'TUTORIAL_MODULE_2', 'URF', 'PRACTICETOOL', 'TUTORIAL', 'CLASSIC', 'ARAM', 'DOOMBOTSTEEMO', 'ULTBOOK', 'TUTORIAL_MODULE_1', 'ONEFORALL', 'ARSR', 'ASSASSINATE', 'PROJECT', 'STARGUARDIAN']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_heal.png
11,Smite,"Deals 450 true damage to target epic, large, or medium monster or minion. Holds two charges (90s Recharge Time)",9,15,"['URF', 'CLASSIC', 'ARSR', 'ONEFORALL', 'PRACTICETOOL', 'NEXUSBLITZ', 'TUTORIAL', 'DOOMBOTSTEEMO']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_smite.png
12,Teleport,"After channeling for 4 seconds, teleports your champion to target allied structure. Upgrades to Unleashed Teleport at 14 minutes, which teleports your champion to target allied structure, minion, or ward.",7,360,"['ONEFORALL', 'PRACTICETOOL', 'CLASSIC', 'TUTORIAL', 'ULTBOOK', 'ARSR', 'ASSASSINATE', 'DOOMBOTSTEEMO']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_teleport.png
13,Clarity,Restores 50% of your champion's maximum Mana. Also restores allies for 25% of their maximum Mana.,6,240,"['ARAM', 'FIRSTBLOOD']",/lol-game-data/assets/DATA/Spells/Icons2D/SummonerMana.png
14,Ignite,"Ignites target enemy champion, dealing 70-410 true damage (depending on champion level) over 5 seconds, grants you vision of the target, and reduces healing effects on them for the duration.",9,180,"['NEXUSBLITZ', 'URF', 'PRACTICETOOL', 'TUTORIAL', 'CLASSIC', 'ARAM', 'DOOMBOTSTEEMO', 'ULTBOOK', 'ONEFORALL', 'ARSR', 'ASSASSINATE', 'FIRSTBLOOD']",/lol-game-data/assets/DATA/Spells/Icons2D/SummonerIgnite.png
21,Barrier,Shields your champion from 115-455 damage (depending on champion level) for 2 seconds.,4,180,"['NEXUSBLITZ', 'URF', 'PRACTICETOOL', 'TUTORIAL', 'CLASSIC', 'ARAM', 'DOOMBOTSTEEMO', 'ULTBOOK', 'ONEFORALL', 'ARSR', 'ASSASSINATE', 'FIRSTBLOOD', 'PROJECT', 'STARGUARDIAN']",/lol-game-data/assets/DATA/Spells/Icons2D/SummonerBarrier.png
30,To the King!,Quickly travel to the Poro King's side.,1,10,['KINGPORO'],/lol-game-data/assets/DATA/Spells/Icons2D/Benevolence_Of_King_Poro_Icon.png
31,Poro Toss,"Toss a Poro at your enemies. If it hits, you can quickly travel to your target as a follow up.",1,20,['KINGPORO'],/lol-game-data/assets/DATA/Spells/Icons2D/Trailblazer_Poro_Icon.png
32,Mark,"Throw a snowball in a straight line at your enemies. If it hits an enemy, they become marked, granting True Sight, and your champion can quickly travel to the marked target as a follow up.",6,80,"['ARAM', 'FIRSTBLOOD']",/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_Mark.png
39,Mark,"Throw a snowball in a straight line at your enemies. If it hits an enemy, they become marked, granting True Sight, and your champion can quickly travel to the marked target as a follow up.",6,80,['SNOWURF'],/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_Mark.png
50,,,1,100,['ODYSSEY'],/lol-game-data/assets/DATA/Spells/Icons2D/SummonerTemp2.png
51,,,1,120,[],/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_haste.png
52,,,1,0,['ODYSSEY'],/lol-game-data/assets/DATA/Spells/Icons2D/SummonerTemp1.png
54,Placeholder,This slot will be replaced by another champion's ultimate selected at the start of the game. There will be 30 seconds to select an ultimate. Be prepared!,1,0,['ULTBOOK'],/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_Empty.png
55,Placeholder and Attack-Smite,This slot will be replaced by another champion's ultimate and you will gain Attack-Smite. There will be 30 seconds to select an ultimate. Be prepared!,1,0,['ULTBOOK'],/lol-game-data/assets/DATA/Spells/Icons2D/Summoner_EmptySmite.png
